Family,WL,Index0,Index1,Index2,Index3,Index4,Index5,T,T_max,T_min,T_sd,T_diff,Method,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Bet,5.1750,11.4378,46.0860,5.3708,3.6738,1.7498,2.2436,26.4740,28.7679,25.0859,1.5981,3.6819,median,0.9685,1.6617,1.5398,1.9940,2.0440,0.5205,2.2439,0.8124,0.7716,0.8557,0.0540,-0.0301
Bog,4.8508,10.3201,39.9940,4.8990,3.3437,1.7314,2.0165,26.1699,26.4560,25.8819,0.4186,0.5740,mean,0.5756,-0.0378,0.0447,-0.0258,0.1596,0.2407,0.1199,0.7279,0.1302,1.0281,-1.5503,-1.6781
Bog,5.0690,10.1980,39.6979,4.8340,3.3045,1.7263,2.0069,26.1699,26.4560,25.8819,0.4186,0.5740,median,0.8425,-0.2066,-0.0274,-0.2748,-0.0460,0.1640,0.0288,0.7279,0.1302,1.0281,-1.5503,-1.6781
Bor,3.9925,10.3009,39.6346,4.8492,3.2933,1.7138,1.9906,24.6831,25.0001,24.2842,0.4459,0.7158,mean,-0.5909,-0.0646,-0.0428,-0.2174,-0.1041,-0.0226,-0.1261,0.3397,-0.2248,0.6894,-1.4664,-1.4814
Bor,4.0167,10.3270,39.0912,4.8967,3.3095,1.7212,1.9970,24.7752,25.0917,24.2733,0.4478,0.7164,median,-0.5551,-0.0281,-0.1750,-0.0347,-0.0200,0.0876,-0.0653,0.3626,-0.2035,0.6872,-1.4607,-1.4807
Bra,5.0463,10.0994,40.9633,4.8025,3.2816,1.6619,2.0767,25.1568,25.5095,24.4027,0.5685,1.1067,mean,0.8152,-0.3406,0.2812,-0.3930,-0.1643,-0.7738,0.6882,0.4590,-0.1048,0.7135,-1.1512,-1.0939
Bra,5.0386,10.1306,41.0363,4.7828,3.2756,1.6635,2.0737,25.1568,25.5095,24.4027,0.5685,1.1067,median,0.8059,-0.2984,0.2990,-0.4664,-0.1947,-0.7512,0.6609,0.4590,-0.1048,0.7135,-1.1512,-1.0939
Bro,4.8613,11.3443,45.0276,5.2500,3.6274,1.7520,2.1700,26.9888,29.6037,24.8012,1.8446,4.8025,mean,0.5886,1.5086,1.2786,1.4404,1.7622,0.5538,1.5622,0.9596,1.0281,0.7958,0.2053,0.2039
Bro,4.8393,11.5134,45.6553,5.1832,3.6534,1.7520,2.1857,26.8082,29.4087,24.6337,1.8217,4.8159,median,0.5611,1.7869,1.4334,1.1451,1.9193,0.5543,1.7079,0.9074,0.9671,0.7610,0.1922,0.2064
Brs,3.7236,8.8675,30.0754,4.3741,2.9076,1.6273,1.8091,-9.7560,1.9006,-21.4897,8.1334,23.3903,mean,-1.0028,-1.8425,-2.3395,-1.8484,-1.9144,-1.2540,-1.8741,-2.1203,-2.2696,-2.1162,1.5737,1.5907
Brs,3.7778,8.8044,29.1878,4.3444,2.9012,1.6212,1.8140,-9.7560,1.9006,-21.4897,8.1334,23.3903,median,-0.9177,-1.9110,-2.5494,-1.9393,-1.9417,-1.3379,-1.8267,-2.1203,-2.2696,-2.1162,1.5737,1.5907
Bul,4.0539,11.0130,42.7959,5.0829,3.4852,1.7778,2.0611,26.1298,27.5480,24.4649,1.1224,3.0830,mean,-0.5004,0.9826,0.7297,0.7164,0.9329,0.9563,0.5418,0.7169,0.4209,0.7263,-0.3347,-0.1867
Bul,4.1312,11.0036,43.1210,5.0769,3.4833,1.7780,2.0583,26.1540,27.5541,24.4681,1.1225,3.0860,median,-0.3881,0.9679,0.8095,0.6912,0.9225,0.9595,0.5153,0.7235,0.4226,0.7269,-0.3346,-0.1859
Bun,5.3346,11.4485,41.7610,5.3256,3.5820,1.8718,2.0296,27.3564,32.3404,21.6368,3.7387,10.7036,mean,1.1540,1.6793,0.4762,1.7840,1.4919,2.4982,0.2435,1.0679,1.9646,0.1901,0.8995,0.9076
Bun,5.3346,11.4485,41.7610,5.3256,3.5820,1.8718,2.0296,27.3564,32.3404,21.6368,3.7387,10.7036,median,1.1540,1.6793,0.4762,1.7840,1.4919,2.4982,0.2435,1.0679,1.9646,0.1901,0.8995,0.9076
Bur,4.5652,11.1048,47.5851,5.1280,3.4280,1.7273,2.0568,24.2814,24.5357,23.9508,0.3924,0.5849,mean,0.2094,1.1258,1.9109,0.9070,0.6141,0.1790,0.5011,0.2418,-0.3304,0.6224,-1.6371,-1.6615
Bur,4.5652,11.1048,47.5851,5.1280,3.4280,1.7273,2.0568,24.2814,24.5357,23.9508,0.3924,0.5849,median,0.2094,1.1258,1.9109,0.9070,0.6141,0.1790,0.5011,0.2418,-0.3304,0.6224,-1.6371,-1.6615
CK,5.9126,8.9254,29.6081,4.6521,3.0129,1.7125,1.7746,-3.7624,11.3608,-17.4903,10.6374,28.8510,mean,1.7865,-1.7788,-2.4501,-0.9359,-1.4555,-0.0414,-2.2121,-2.1127,-2.0508,-2.1069,1.7867,1.7734
CK,6.2625,8.6377,28.9154,4.5268,2.9799,1.7118,1.7564,-4.3417,12.0734,-19.0392,10.2471,27.3104,median,2.1430,-2.0885,-2.6137,-1.3615,-1.6022,-0.0522,-2.3904,-2.1147,-2.0094,-2.1115,1.7576,1.7256
CN,3.8891,9.3118,33.9795,4.4404,3.0353,1.6037,1.9230,25.0520,25.5652,24.2628,0.6253,1.3024,mean,-0.7463,-1.3368,-1.4092,-1.6412,-1.3545,-1.5722,-0.7721,0.4323,-0.0913,0.6851,-1.0313,-0.9493
CN,3.9945,9.2832,33.4453,4.4441,3.0222,1.6099,1.9157,25.0398,25.5476,24.2778,0.6250,1.2997,median,-0.5879,-1.3706,-1.5371,-1.6294,-1.4135,-1.4890,-0.8425,0.4292,-0.0956,0.6881,-1.0319,-0.9511
CSu,3.5341,10.7946,40.8043,4.9630,3.3948,1.7155,2.0628,25.0960,28.0900,23.0606,1.9572,5.0295,mean,-1.3092,0.6494,0.2423,0.2261,0.4332,0.0021,0.5576,0.4434,0.5733,0.4494,0.2667,0.2446
CSu,3.3732,10.9032,41.2642,4.9964,3.4095,1.7220,2.0561,25.1665,27.8188,23.3162,1.9720,4.7887,median,-1.5812,0.8137,0.3547,0.3603,0.5128,0.0996,0.4945,0.4615,0.4964,0.4982,0.2745,0.2014
CW,4.9338,9.8158,37.4346,4.7077,3.2309,1.6916,1.9722,26.2602,28.4076,25.0584,1.4482,3.3492,mean,0.6783,-0.7144,-0.5769,-0.7395,-0.4214,-0.3485,-0.3017,0.7528,0.6652,0.8499,-0.0520,-0.1136
CW,4.9615,9.8445,37.5185,4.6721,3.2135,1.6817,1.9786,26.1266,28.4164,24.9336,1.5538,3.5899,median,0.7123,-0.6773,-0.5565,-0.8659,-0.5078,-0.4916,-0.2405,0.7160,0.6677,0.8235,0.0239,-0.0524
Cad,5.3348,8.6504,33.7133,4.2968,2.9040,1.5282,1.8758,14.5919,27.1962,1.7676,9.1844,25.4285,mean,1.1542,-2.0751,-1.4730,-2.0818,-1.9298,-2.5417,-1.2267,-1.3753,0.3249,-1.7620,1.6713,1.6635
Cad,5.6389,8.5909,34.0533,4.2409,2.9010,1.5225,1.8654,17.7598,28.5849,5.7134,8.4487,23.4772,median,1.4942,-2.1373,-1.3915,-2.2455,-1.9426,-2.6115,-1.3275,-0.9868,0.7172,-1.5627,1.6044,1.5939
Cah,5.1621,9.3860,35.7201,4.7011,3.1810,1.7149,1.9135,23.9692,25.2005,23.0502,1.1530,2.1503,mean,0.9533,-1.2485,-0.9909,-0.7629,-0.6679,-0.0055,-0.8631,0.1676,-0.1781,0.4474,-0.3043,-0.5051
Cah,5.1621,9.3860,35.7201,4.7011,3.1810,1.7149,1.9135,23.9692,25.2005,23.0502,1.1530,2.1503,median,0.9533,-1.2485,-0.9909,-0.7629,-0.6679,-0.0055,-0.8631,0.1676,-0.1781,0.4474,-0.3043,-0.5051
Cam,5.5875,9.9842,40.3297,4.7054,3.1502,1.6390,1.9987,10.1072,10.6207,8.9727,0.7544,1.6480,mean,1.4379,-0.4945,0.1265,-0.7476,-0.8175,-1.0936,-0.0492,-1.7480,-2.0889,-1.3424,-0.8003,-0.7406
Cam,5.5875,9.9842,40.3297,4.7054,3.1502,1.6390,1.9987,10.1072,10.6207,8.9727,0.7544,1.6480,median,1.4379,-0.4945,0.1265,-0.7476,-0.8175,-1.0936,-0.0492,-1.7480,-2.0889,-1.3424,-0.8003,-0.7406
Can,5.1782,9.8557,39.0240,4.7416,3.1658,1.6289,1.9798,26.3434,28.6198,23.8679,1.8100,4.7519,mean,0.9722,-0.6628,-0.1913,-0.6171,-0.7421,-1.2323,-0.2290,0.7759,0.7276,0.6059,0.1855,0.1946
Can,5.1782,9.8557,39.0240,4.7416,3.1658,1.6289,1.9798,26.3434,28.6198,23.8679,1.8100,4.7519,median,0.9722,-0.6628,-0.1913,-0.6171,-0.7421,-1.2323,-0.2290,0.7759,0.7276,0.6059,0.1855,0.1946
Car,4.6432,10.8939,43.8645,5.2082,3.5367,1.7734,2.1201,24.5048,26.0411,23.4400,1.2328,2.6011,mean,0.3113,0.7996,0.9922,1.2547,1.2272,0.8870,1.0964,0.2959,0.0253,0.5221,-0.2292,-0.3368
Car,4.5885,10.9580,44.0495,5.2360,3.5613,1.7834,2.1268,25.4253,26.9140,24.4392,1.2030,2.4655,median,0.2400,0.8976,1.0377,1.3775,1.3701,1.0447,1.1583,0.5284,0.2495,0.7210,-0.2566,-0.3842
