Genus,Family,Index0,Index1,Index2,Index3,Index4,T,T_max,T_min,T_sd,T_diff,Method,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
An.CENTRAL_MALAYO-POLYNESIAN,An,11.1504,44.7085,3.5341,1.7928,2.0831,25.0351,26.1734,23.5153,0.9809,2.6581,mean,1.1117,1.1708,1.1700,1.2158,0.7490,0.4533,0.1032,0.5484,-0.4791,-0.3312
An.CENTRAL_MALAYO-POLYNESIAN,An,11.2054,45.1859,3.5513,1.7960,2.0953,25.5488,26.6008,24.0701,0.9840,2.6179,median,1.1904,1.2785,1.2600,1.2705,0.8593,0.5949,0.2143,0.6668,-0.4753,-0.3448
An.CHAMORRO,An,9.6460,39.2684,3.0486,1.6461,1.9088,26.7469,27.2933,25.8123,0.6553,1.4809,mean,-0.8906,-0.0740,-1.2081,-1.0455,-0.8149,0.9481,0.4012,1.0663,-0.9659,-0.8493
An.CHAMORRO,An,9.6460,39.2684,3.0486,1.6461,1.9088,26.7469,27.2933,25.8123,0.6553,1.4809,median,-0.8906,-0.0740,-1.2081,-1.0455,-0.8149,0.9481,0.4012,1.0663,-0.9659,-0.8493
An.EAST_FORMOSAN,An,9.9329,39.9768,3.1879,1.6946,1.9341,20.1743,24.8756,14.4499,3.7742,10.4257,mean,-0.5314,0.0901,-0.5595,-0.3486,-0.5887,-0.6243,-0.2144,-0.8765,0.9376,0.9038
An.EAST_FORMOSAN,An,10.0904,39.4342,3.2234,1.7033,1.9430,22.0021,27.2316,15.8874,3.8184,10.5366,median,-0.3296,-0.0355,-0.3901,-0.2190,-0.5093,-0.2712,0.3842,-0.7064,0.9485,0.9135
An.ENGGANO,An,10.7245,46.4720,3.4632,1.6694,2.1663,26.3852,27.2453,25.8067,0.6662,1.4386,mean,0.5151,1.5675,0.8022,-0.7170,1.5017,0.8380,0.3880,1.0649,-0.9453,-0.8748
An.ENGGANO,An,10.4328,45.1647,3.3495,1.6539,2.1029,26.3852,27.2453,25.8067,0.6662,1.4386,median,0.1201,1.2738,0.2267,-0.9367,0.9279,0.8380,0.3880,1.0649,-0.9453,-0.8748
An.GREATER_CENTRAL_PHILIPPINE,An,9.8064,38.9582,3.1710,1.6630,1.9581,25.2312,26.3026,24.1312,0.7917,2.1714,mean,-0.6911,-0.1460,-0.6400,-0.8086,-0.3738,0.5067,0.1365,0.6801,-0.7337,-0.5110
An.GREATER_CENTRAL_PHILIPPINE,An,9.7675,38.5735,3.1745,1.6620,1.9587,25.8840,26.9254,24.3848,0.7037,1.9603,median,-0.7398,-0.2354,-0.6235,-0.8225,-0.3688,0.6904,0.3008,0.7358,-0.8776,-0.6017
An.JAVANESE,An,10.1234,37.6842,3.2239,1.7232,1.9402,23.6808,24.6377,22.5479,0.8094,2.0899,mean,-0.2870,-0.4430,-0.3879,0.0848,-0.5340,0.1070,-0.2695,0.3518,-0.7070,-0.5450
An.JAVANESE,An,10.1220,37.5954,3.2175,1.7220,1.9446,23.8069,24.8529,22.7251,0.8069,2.0996,median,-0.2887,-0.4638,-0.4184,0.0662,-0.4950,0.1377,-0.2197,0.3869,-0.7107,-0.5409
An.LAMPUNGIC,An,10.0422,35.4502,3.2679,1.7141,1.9928,26.2973,27.0062,25.7824,0.6278,1.2238,mean,-0.3917,-0.9689,-0.1752,-0.0547,-0.0629,0.8117,0.3227,1.0590,-1.0193,-1.0168
An.LAMPUNGIC,An,10.0482,34.5618,3.2611,1.7124,1.9941,26.2588,27.0402,25.7780,0.6444,1.2622,median,-0.3839,-1.1800,-0.2081,-0.0819,-0.0510,0.8002,0.3319,1.0580,-0.9867,-0.9898
An.LAND_DAYAK,An,9.8449,38.6910,3.1388,1.6667,1.9506,25.7239,26.4206,25.0476,0.5165,1.3731,mean,-0.6427,-0.2081,-0.7914,-0.7550,-0.4415,0.6445,0.1671,0.8856,-1.2681,-0.9158
An.LAND_DAYAK,An,9.8598,39.1631,3.1206,1.6813,1.9286,25.8147,26.4963,25.1519,0.5169,1.4354,median,-0.6239,-0.0984,-0.8764,-0.5449,-0.6381,0.6704,0.1869,0.9097,-1.2670,-0.8768
